 39.20     16
 39.50     14
 39.70     15
 39.80     40
 41.40     27
 44.80     10
 44.90     38
 45.30     35
 45.50      9
 45.50     34
 46.40      1
 46.50     31
 46.50     36
 47.80     40
 47.90     20
 48.00     25
 48.20      3
 48.70     15
 48.80      8
 49.60     39
 49.70     38
 49.90     46
 50.00     34
 50.10     16
 50.10     28
 50.30     31
 50.60     49
 50.70     12
 50.90      2
 51.00     27
 51.20      1
 51.20     10
 51.50     36
 51.60     35
 51.70      6
 51.90      7
 52.10     21
 52.20     30
 52.40     22
 52.50      0
 52.50      9
 52.60     13
 52.70      4
 52.70     26
 52.90     40
 53.00     14
 53.00     45
 53.10      3
 53.10     18
 53.20     24
 53.20     25
 53.20     48
 53.40     20
 53.50     31
 53.90     23
 54.00     34
 54.20     33
 54.40      5
 54.40     28
 54.50     39
 54.90      2
 55.00     12
 55.00     42
 55.10      1
 55.20     49
 55.30      8
 55.30     38
 55.30     46
 55.50      7
 55.70      6
 55.70     21
 55.70     32
 55.80     27
 55.80     44
 56.20     29
 56.20     36
 56.30     26
 56.30     31
 56.30     41
 56.30     47
 56.50      9
 56.50     37
 56.50     40
 56.50     48
 56.60     17
 56.60     18
 57.00     24
 57.00     43
 57.20     10
 57.20     20
 57.20     22
 57.20     25
 57.20     35
 57.30      0
 57.30     30
 57.30     45
 57.40     34
 57.50      4
 57.50     16
 57.70      3
 58.00     33
 58.20      5
 58.20     14
 58.40     13
 58.50     28
 58.60      2
 58.70     19
 58.70     39
 58.80     32
 58.90     23
 59.10     12
 59.10     31
 59.30      7
 59.30     15
 59.30     48
 59.50     17
 59.50     40
 59.60      1
 59.60     21
 59.60     38
 59.60     41
 59.70      8
 59.80     26
 59.80     49
 59.90     29
 59.90     44
 60.00     36
 60.20     18
 60.20     46
 60.30      6
 60.40     11
 60.40     24
 60.40     27
 60.50     37
 60.60      9
 60.60     42
 60.80     34
 60.90      0
 61.00     20
 61.00     25
 61.30     35
 61.40     16
 61.70     30
 61.80     43
 61.80     45
 61.90     31
 62.00      4
 62.00     33
 62.10      3
 62.20     22
 62.20     28
 62.30     14
 62.30     32
 62.30     47
 62.40     48
 62.50      5
 62.50     17
 62.60      2
 63.00     40
 63.00     41
 63.20      7
 63.30     19
 63.50     39
 63.60     12
 63.60     21
 63.60     26
 64.00     29
 64.00     38
